T_ANALF15M,T_ATRASO_2_BASICO,T_FUND18M,AGUA_ESGOTO,T_DENS,T_LIXO,GINI,PPOB,T_FUNDIN18MINF,P_FORMAL,T_DES18M,RAZDEP,IDHM
12.8,31.12,23.07,5.43,58.53,75.71,0.45,63.71,50.49,66.26,25.93,64.7,0.494
9.76,20.37,32.62,0.99,43.18,99.22,0.41,51.77,48.01,62.87,23.46,57.5,0.586
17.67,22.93,34.06,0.56,42.07,97.7,0.48,47.6,46.61,63.46,20.25,53.63,0.606
16.42,22.93,34.06,0.56,42.07,97.7,0.48,47.6,46.61,63.46,20.25,58.08,0.606
13.55,22.93,34.06,0.56,42.07,97.7,0.48,47.6,46.61,63.46,20.25,56.53,0.606
8.38,22.93,34.06,0.56,42.07,97.7,0.48,47.6,46.61,63.46,20.25,53.32,0.606
1.58,10.63,76.24,0.0,11.53,99.72,0.47,5.68,17.89,71.98,12.01,37.26,0.823
0.71,7.14,86.99,0.0,4.58,99.76,0.43,3.48,9.97,76.31,11.54,32.73,0.865
2.63,10.52,80.79,0.16,14.79,99.0,0.51,11.5,11.72,74.25,10.55,39.7,0.834
0.74,10.52,80.79,0.16,14.79,99.0,0.51,11.5,11.72,74.25,10.55,38.59,0.834
2.06,13.43,69.69,0.0,15.63,99.78,0.47,10.73,22.17,66.78,13.28,40.62,0.783
2.1,10.27,68.19,0.0,18.27,100.0,0.45,8.11,24.79,66.74,10.51,42.76,0.796
6.19,18.17,40.61,0.4,38.64,98.47,0.43,36.58,40.12,65.5,16.46,46.21,0.638
7.83,28.62,31.79,0.0,47.38,98.65,0.45,52.11,48.67,62.27,20.72,54.91,0.577
8.42,22.62,28.04,0.6,52.7,98.13,0.43,57.78,49.93,58.86,21.14,49.33,0.546
6.85,16.95,41.06,0.37,36.19,98.06,0.42,40.13,40.88,67.66,18.45,47.8,0.636
2.08,10.9,66.19,0.03,20.08,99.79,0.48,14.95,26.15,66.16,12.39,39.38,0.76
3.82,11.86,59.67,0.66,29.36,99.71,0.48,18.16,30.43,66.51,16.57,43.84,0.736
