Feature,Mean_SHAP_Value
T_FUND18M,0.0260319690770049
PPOB,0.018661220356060916
T_FUNDIN18MINF,0.018212603099818144
T_DENS,0.011603882700415081
T_ATRASO_2_BASICO,0.0060960673704751
T_ANALF15M,0.004140615100622621
AGUA_ESGOTO,0.0031706312276254655
T_DES18M,0.002848498435793799
RAZDEP,0.0016472702288680178
GINI,0.0016033719110393602
P_FORMAL,0.001404392456951852
T_LIXO,0.0008528021229310891
